unique_id,Finished,ac1,ac2,ac3,bedingung,codeword,gender,age,sys_trust1,sys_trust2,sys_trust3,sys_trust4,sys_trust5,sys_trust6,sys_trust7,sys_trust8,sys_trust9,sys_trust10,sys_trust11,sys_trust12,symb_trust1,symb_trust2,symb_trust3,symb_trust4,symb_trust5,mean_sys_trust,mean_symb_trust
7,1,1,5,1,5,-99,weiblich,23,1,5,2,1,1,3,3,7,2,3,1,4,1,1,2,2,1,2.75,1.4
8,1,1,5,1,5,-99,weiblich,24,3,6,2,5,3,5,4,6,5,6,3,6,2,2,3,2,2,4.5,2.2
9,1,1,5,1,5,-99,weiblich,22,2,3,3,3,3,3,4,5,3,5,3,5,3,3,3,3,3,3.5,3
11,1,1,5,1,5,-99,weiblich,29,5,5,5,5,2,4,5,6,5,5,5,5,6,5,5,5,6,4.75,5.4
12,1,1,5,1,5,-99,weiblich,21,3,1,1,3,5,1,7,1,3,2,4,2,1,1,5,2,1,2.75,2
13,1,1,5,1,4,-99,männlich,33,4,4,3,6,3,5,5,6,5,5,5,5,3,3,2,3,3,4.666666666666667,2.8
14,1,1,5,1,1,-99,weiblich,18,7,6,3,7,5,1,5,7,7,7,7,7,1,2,2,1,1,5.75,1.4
15,1,1,5,1,5,-99,weiblich,22,5,3,4,4,2,2,6,5,5,5,4,5,2,3,3,3,1,4.166666666666667,2.4
16,1,1,5,1,3,-99,männlich,24,4,5,3,3,3,5,5,7,5,4,4,5,2,3,3,2,2,4.416666666666667,2.4
17,1,1,5,1,4,-99,weiblich,31,3,2,2,3,3,4,5,4,3,3,3,2,4,3,5,4,4,3.0833333333333335,4
18,1,1,5,1,5,-99,weiblich,20,6,6,6,7,6,6,7,6,5,5,7,5,1,1,6,1,1,6,2
20,1,1,5,1,3,-99,weiblich,18,6,5,6,6,3,4,6,6,6,6,6,6,5,5,5,4,3,5.5,4.4
22,1,1,5,1,3,-99,weiblich,24,1,3,2,3,2,6,4,6,2,3,5,4,2,4,4,4,2,3.4166666666666665,3.2
24,1,1,5,1,2,-99,weiblich,23,5,5,4,4,4,2,5,5,5,5,4,4,3,4,4,3,3,4.333333333333333,3.4
26,1,1,5,1,1,-99,männlich,29,3,4,2,5,2,5,5,7,6,6,3,6,5,4,4,5,5,4.5,4.6
27,1,1,5,1,2,-99,weiblich,25,3,5,2,2,2,5,6,2,4,3,2,3,2,1,5,2,1,3.25,2.2
28,1,1,5,1,1,-99,weiblich,28,6,6,6,7,1,7,6,7,7,4,6,4,4,3,3,5,3,5.583333333333333,3.6
29,1,1,5,1,4,-99,männlich,30,6,7,3,7,6,6,6,7,7,5,6,6,4,4,4,4,4,6,4
31,1,1,5,1,5,-99,männlich,26,5,7,6,6,4,6,6,7,7,6,4,6,5,5,5,4,5,5.833333333333333,4.8
32,1,1,5,1,4,-99,weiblich,23,3,6,7,3,1,2,5,3,3,5,6,5,2,2,3,1,3,4.083333333333333,2.2
33,1,1,5,1,4,-99,weiblich,28,4,1,1,4,4,1,4,7,4,3,5,4,3,1,3,3,1,3.5,2.2
34,1,1,5,1,5,-99,männlich,24,4,5,3,6,4,5,5,6,5,5,5,5,3,5,3,4,3,4.833333333333333,3.6
35,1,1,5,1,5,-99,weiblich,23,3,3,4,3,2,5,4,6,4,4,4,5,2,2,5,2,2,3.9166666666666665,2.6
36,1,1,5,1,4,-99,weiblich,20,4,4,4,3,2,4,3,6,5,6,5,5,3,5,5,5,5,4.25,4.6
37,1,1,5,1,5,-99,männlich,28,3,3,3,3,3,4,3,5,3,3,3,5,1,1,1,1,1,3.4166666666666665,1
38,1,1,5,1,1,-99,männlich,38,2,4,3,3,3,5,4,7,5,4,4,5,4,3,3,3,3,4.083333333333333,3.2
39,1,1,5,1,2,-99,weiblich,25,5,5,5,6,4,5,7,7,6,6,5,5,3,4,3,4,3,5.5,3.4
40,1,1,5,1,1,-99,männlich,24,6,6,6,5,3,6,4,6,7,6,5,6,3,4,5,5,4,5.5,4.2
41,1,1,5,1,5,-99,männlich,31,4,5,5,5,2,7,2,7,5,5,4,4,2,1,4,1,1,4.583333333333333,1.8
43,1,1,5,1,2,-99,weiblich,20,3,4,3,3,3,1,6,3,3,4,2,4,4,4,4,4,4,3.25,4
44,1,1,5,1,5,-99,männlich,26,6,7,2,7,1,7,7,6,7,7,7,7,3,4,2,3,4,5.916666666666667,3.2
45,1,1,5,1,2,-99,non-binär/divers,23,4,6,5,5,4,5,6,7,6,6,4,5,3,2,2,2,3,5.25,2.4
46,1,1,5,1,5,-99,weiblich,21,6,3,5,3,5,3,5,5,4,3,4,2,1,4,3,4,2,4,2.8
47,1,1,5,1,1,-99,weiblich,19,3,4,4,5,3,3,5,3,4,4,4,5,5,3,2,4,5,3.9166666666666665,3.8
48,1,1,5,1,2,-99,weiblich,49,4,2,2,4,3,5,2,5,3,4,4,4,4,4,4,4,3,3.5,3.8
49,1,1,5,1,1,-99,männlich,22,5,2,3,7,6,2,5,7,5,4,5,6,4,6,6,5,5,4.75,5.2
50,1,1,5,1,2,-99,männlich,21,5,6,5,6,2,1,6,7,6,5,5,5,2,4,4,3,1,4.916666666666667,2.8
51,1,1,5,1,4,-99,weiblich,24,5,3,3,5,5,3,4,7,6,7,5,6,1,1,6,1,2,4.916666666666667,2.2
52,1,1,5,1,3,-99,weiblich,19,6,5,5,4,3,5,4,6,6,6,5,6,2,2,2,3,3,5.083333333333333,2.4
54,1,1,5,1,1,-99,männlich,22,3,3,5,3,3,5,7,6,5,3,3,4,4,5,6,6,5,4.166666666666667,5.2
55,1,1,5,1,2,-99,weiblich,26,3,5,3,3,1,1,3,2,3,3,4,3,1,1,1,1,1,2.8333333333333335,1
56,1,1,5,1,1,-99,weiblich,22,2,2,3,2,2,4,2,1,3,3,2,3,3,5,3,2,2,2.4166666666666665,3
57,1,1,5,1,1,-99,weiblich,22,5,5,4,6,5,6,5,7,5,6,5,6,5,4,3,4,4,5.416666666666667,4
58,1,1,5,1,4,-99,weiblich,19,6,6,4,7,7,7,7,7,7,5,2,5,3,2,1,1,1,5.833333333333333,1.6
59,1,1,5,1,3,-99,weiblich,32,3,3,5,4,1,3,4,5,4,4,4,4,4,4,4,4,4,3.6666666666666665,4
60,1,1,5,1,2,-99,männlich,25,5,4,3,5,4,6,7,7,5,5,4,5,2,3,3,4,3,5,3
61,1,1,5,1,4,-99,männlich,26,6,4,4,5,4,4,6,5,5,6,6,6,3,4,5,5,1,5.083333333333333,3.6
62,1,1,5,1,1,-99,weiblich,23,3,5,3,4,2,5,6,6,4,5,4,6,5,5,5,5,4,4.416666666666667,4.8
63,1,1,5,1,5,-99,weiblich,24,6,6,6,7,5,4,7,7,7,6,6,7,3,4,3,4,3,6.166666666666667,3.4
64,1,1,5,1,1,-99,weiblich,21,5,6,4,5,4,5,7,7,5,5,2,5,1,3,4,4,2,5,2.8
65,1,1,5,1,3,-99,weiblich,23,5,6,4,5,3,5,6,7,6,6,6,5,3,4,4,4,3,5.333333333333333,3.6
67,1,1,5,1,3,-99,weiblich,20,3,3,1,3,2,6,5,6,4,5,4,6,4,4,4,5,2,4,3.8
68,1,1,5,1,5,-99,weiblich,20,5,6,6,7,3,3,7,5,5,4,4,6,4,4,4,4,3,5.083333333333333,3.8
69,1,1,5,1,4,-99,weiblich,20,5,3,3,5,5,4,5,6,5,5,4,5,2,4,3,3,2,4.583333333333333,2.8
71,1,1,5,1,5,-99,weiblich,19,2,3,3,5,2,2,4,5,5,3,4,4,4,3,3,3,5,3.5,3.6
73,1,1,5,1,5,-99,weiblich,23,4,6,4,4,2,6,5,7,6,6,3,6,1,3,1,3,4,4.916666666666667,2.4
74,1,1,5,1,3,-99,weiblich,34,6,6,3,6,5,5,6,7,7,6,5,7,5,5,5,5,3,5.75,4.6
75,1,1,5,1,3,-99,weiblich,24,5,6,3,6,5,6,6,7,6,7,4,6,2,3,3,3,2,5.583333333333333,2.6
76,1,1,5,1,3,-99,non-binär/divers,22,4,4,2,3,1,5,4,6,5,4,4,5,3,3,4,3,1,3.9166666666666665,2.8
77,1,1,5,1,3,-99,männlich,24,4,3,5,5,2,4,7,5,5,4,5,4,3,3,4,3,3,4.416666666666667,3.2
78,1,1,5,1,1,-99,weiblich,30,5,6,6,5,5,6,6,7,5,6,4,6,4,4,4,4,4,5.583333333333333,4
79,1,1,5,1,4,-99,weiblich,25,5,6,4,4,3,4,5,6,6,6,3,5,5,6,5,5,6,4.75,5.4
81,1,1,5,1,2,-99,männlich,27,5,4,3,3,2,4,5,7,4,5,5,5,1,3,2,4,1,4.333333333333333,2.2
82,1,1,5,1,5,-99,weiblich,19,5,7,4,6,3,5,5,6,7,5,5,6,1,3,2,5,2,5.333333333333333,2.6
83,1,1,5,1,2,-99,keine Angabe,28,1,2,1,1,2,2,1,1,1,1,1,2,2,3,2,3,2,1.3333333333333333,2.4
84,1,1,5,1,4,-99,männlich,23,4,2,3,3,2,2,6,6,5,5,3,3,4,4,4,5,4,3.6666666666666665,4.2
85,1,1,5,1,2,-99,weiblich,25,4,3,1,6,5,5,3,6,5,4,2,5,1,1,2,1,1,4.083333333333333,1.2
86,1,1,5,1,5,-99,männlich,22,5,6,4,6,2,6,6,7,5,5,5,4,1,3,2,2,1,5.083333333333333,1.8
87,1,1,5,1,4,-99,männlich,29,2,4,2,3,4,1,7,6,3,1,4,1,1,2,1,2,1,3.1666666666666665,1.4
88,1,1,5,1,2,-99,männlich,19,5,5,5,4,4,4,4,7,6,6,5,5,3,3,2,3,2,5,2.6
89,1,1,5,1,2,-99,weiblich,19,2,6,5,3,1,5,4,7,7,5,5,6,3,5,4,2,3,4.666666666666667,3.4
90,1,1,5,1,3,-99,weiblich,20,5,4,5,5,2,5,5,5,5,5,5,6,5,5,4,4,4,4.75,4.4
91,1,1,5,1,3,-99,weiblich,30,3,4,2,3,2,3,5,4,3,4,3,4,4,4,4,4,2,3.3333333333333335,3.6
93,1,1,5,1,5,-99,weiblich,23,5,6,5,6,6,5,7,7,5,6,4,6,6,5,5,4,6,5.666666666666667,5.2
95,1,1,5,1,2,-99,weiblich,20,3,6,3,5,5,3,4,6,5,3,4,4,2,3,3,3,2,4.25,2.6
96,1,1,5,1,1,-99,männlich,20,4,5,2,4,4,5,6,6,4,6,3,6,4,4,4,4,3,4.583333333333333,3.8
97,1,1,5,1,2,-99,männlich,30,3,3,3,3,2,4,4,4,3,3,3,3,2,2,5,2,1,3.1666666666666665,2.4
98,1,1,5,1,4,-99,männlich,31,5,3,4,4,2,1,3,6,5,5,5,5,5,5,2,4,3,4,3.8
99,1,1,5,1,5,-99,weiblich,18,3,6,5,3,1,7,7,7,3,3,5,5,4,4,1,4,1,4.583333333333333,2.8
100,1,1,5,1,1,-99,weiblich,59,2,5,3,3,2,1,6,7,2,4,2,4,1,1,6,1,1,3.4166666666666665,2
102,1,1,5,1,5,-99,weiblich,19,2,2,7,3,1,3,3,3,4,2,1,4,5,4,4,5,3,2.9166666666666665,4.2
103,1,1,5,1,3,-99,weiblich,22,2,4,2,3,2,1,3,5,4,3,2,3,2,3,2,3,1,2.8333333333333335,2.2
105,1,1,5,1,4,-99,non-binär/divers,22,3,5,3,3,3,5,4,5,3,3,3,5,2,3,2,3,2,3.75,2.4
106,1,1,5,1,4,-99,weiblich,20,4,6,6,5,3,5,5,5,5,5,4,5,2,3,3,3,2,4.833333333333333,2.6
107,1,1,5,1,1,-99,weiblich,24,7,4,4,5,2,5,4,5,6,7,3,2,4,4,2,5,4,4.5,3.8
108,1,1,5,1,5,-99,männlich,30,2,3,3,3,1,1,4,5,2,2,2,4,1,3,2,1,2,2.6666666666666665,1.8
109,1,1,5,1,4,-99,männlich,20,4,5,3,5,6,6,5,7,4,5,2,6,1,4,5,4,1,4.833333333333333,3
110,1,1,5,1,4,-99,weiblich,25,2,4,4,4,6,3,6,5,3,4,3,4,4,3,4,3,3,4,3.4
111,1,1,5,1,1,-99,männlich,21,6,3,2,1,2,5,6,5,6,5,7,5,4,3,3,4,4,4.416666666666667,3.6
112,1,1,5,1,4,-99,männlich,23,5,6,3,6,1,6,6,7,6,5,5,3,1,1,1,2,1,4.916666666666667,1.2
113,1,1,5,1,2,-99,weiblich,20,4,6,5,3,3,6,5,6,6,4,4,5,3,5,4,4,4,4.75,4
114,1,1,5,1,5,-99,weiblich,21,5,6,3,6,4,6,6,6,6,5,5,5,6,5,5,6,4,5.25,5.2
115,1,1,5,1,3,-99,männlich,28,3,6,6,3,1,7,4,7,4,6,3,6,5,4,4,4,5,4.666666666666667,4.4
116,1,1,5,1,5,-99,weiblich,24,4,4,3,5,4,2,5,3,4,5,5,5,1,3,2,2,1,4.083333333333333,1.8
118,1,1,5,1,1,-99,weiblich,18,2,2,1,1,5,1,3,4,2,4,1,5,2,3,3,3,1,2.5833333333333335,2.4
119,1,1,5,1,4,-99,weiblich,28,6,5,4,5,3,5,6,7,6,5,6,6,4,4,4,5,5,5.333333333333333,4.4
120,1,1,5,1,1,-99,weiblich,36,2,2,4,4,2,1,5,1,3,2,2,4,2,3,5,1,2,2.6666666666666665,2.6
122,1,1,5,1,4,-99,weiblich,26,3,4,5,4,5,4,6,6,5,5,3,5,2,3,3,3,2,4.583333333333333,2.6
123,1,1,5,1,2,-99,weiblich,25,3,3,4,3,3,4,3,7,3,5,2,4,5,4,6,3,5,3.6666666666666665,4.6
124,1,1,5,1,4,-99,weiblich,28,2,6,2,3,3,3,6,6,4,3,3,3,1,4,5,4,2,3.6666666666666665,3.2
125,1,1,5,1,1,-99,männlich,35,4,6,5,7,2,4,7,5,5,4,5,4,6,4,5,5,5,4.833333333333333,5
126,1,1,5,1,5,-99,weiblich,21,3,2,2,2,3,3,5,7,5,4,4,4,2,3,3,2,2,3.6666666666666665,2.4
127,1,1,5,1,2,-99,weiblich,23,4,6,6,4,4,3,5,4,5,5,5,5,3,3,3,3,2,4.666666666666667,2.8
128,1,1,5,1,3,-99,männlich,25,3,3,3,3,3,3,4,3,3,5,3,5,3,3,3,3,3,3.4166666666666665,3
129,1,1,5,1,4,-99,weiblich,22,3,4,4,3,3,3,4,5,5,5,3,5,2,4,3,2,3,3.9166666666666665,2.8
130,1,1,5,1,4,-99,weiblich,29,2,5,4,3,2,2,4,7,3,1,3,5,2,3,3,3,2,3.4166666666666665,2.6
131,1,1,5,1,2,-99,männlich,20,6,7,4,6,4,2,6,7,6,7,5,6,3,4,4,4,5,5.5,4
132,1,1,5,1,5,-99,weiblich,22,3,4,3,3,2,2,4,7,3,3,4,6,2,3,2,3,3,3.6666666666666665,2.6
133,1,1,5,1,1,-99,weiblich,21,6,5,5,5,3,3,7,7,6,5,5,5,3,5,4,4,3,5.166666666666667,3.8
135,1,1,5,1,1,-99,weiblich,27,3,5,2,4,3,2,4,5,4,5,3,4,3,4,3,3,2,3.6666666666666665,3
136,1,1,5,1,1,-99,weiblich,24,4,6,6,5,3,7,3,7,5,5,5,5,3,4,4,3,3,5.083333333333333,3.4
137,1,1,5,1,1,-99,weiblich,22,5,6,5,7,4,5,7,7,5,5,6,5,4,5,5,4,3,5.583333333333333,4.2
138,1,1,5,1,4,-99,männlich,20,4,4,4,6,4,2,5,2,5,5,3,5,2,2,1,3,3,4.083333333333333,2.2
139,1,1,5,1,4,-99,weiblich,31,3,5,3,4,2,6,5,6,4,5,4,5,2,4,3,3,3,4.333333333333333,3
141,1,1,5,1,2,-99,weiblich,20,6,4,3,5,6,1,3,7,4,3,6,4,1,4,6,4,3,4.333333333333333,3.6
142,1,1,5,1,1,-99,weiblich,19,3,4,3,3,6,3,5,5,3,3,3,3,1,1,2,1,1,3.6666666666666665,1.2
143,1,1,5,1,4,-99,männlich,25,3,4,2,2,2,5,4,5,4,3,4,4,2,3,3,2,2,3.5,2.4
144,1,1,5,1,2,-99,weiblich,21,3,5,6,3,1,4,4,6,5,5,5,6,5,4,4,4,4,4.416666666666667,4.2
145,1,1,5,1,3,-99,männlich,23,5,6,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4.833333333333333,4
146,1,1,5,1,5,-99,weiblich,21,4,6,5,5,4,2,6,5,5,4,3,4,3,3,3,3,2,4.416666666666667,2.8
147,1,1,5,1,3,-99,männlich,19,4,6,3,2,1,7,4,6,4,4,5,4,1,4,4,3,1,4.166666666666667,2.6
148,1,1,5,1,2,-99,weiblich,29,6,6,5,7,2,5,6,7,5,4,4,6,5,5,5,4,5,5.25,4.8
149,1,1,5,1,2,-99,keine Angabe,19,5,5,3,5,5,5,6,5,3,6,5,6,3,2,2,3,3,4.916666666666667,2.6
150,1,1,5,1,1,-99,weiblich,24,4,5,2,2,5,4,5,7,5,7,3,4,1,5,3,3,3,4.416666666666667,3
151,1,1,5,1,2,-99,weiblich,30,4,6,5,6,6,6,7,5,5,6,4,6,2,3,2,2,2,5.5,2.2
152,1,1,5,1,1,-99,weiblich,22,6,4,7,7,3,7,7,7,7,5,6,7,4,6,6,6,6,6.083333333333333,5.6
153,1,1,5,1,5,-99,weiblich,21,3,7,4,7,7,5,7,6,5,5,6,4,2,4,4,4,3,5.5,3.4
154,1,1,5,1,5,-99,weiblich,23,4,4,1,7,7,6,7,6,4,6,4,4,2,4,4,5,4,5,3.8
155,1,1,5,1,5,-99,männlich,20,4,7,4,5,3,6,4,6,4,5,3,6,4,4,4,4,3,4.75,3.8
156,1,1,5,1,5,-99,weiblich,24,1,6,5,3,2,3,5,7,4,3,2,3,1,1,1,1,1,3.6666666666666665,1
157,1,1,5,1,3,-99,weiblich,20,3,7,6,4,4,7,7,7,6,5,4,5,1,3,4,2,1,5.416666666666667,2.2
158,1,1,5,1,1,-99,männlich,28,4,7,7,5,1,5,5,6,4,5,4,4,3,5,4,3,3,4.75,3.6
160,1,1,5,1,5,-99,weiblich,21,2,4,2,1,2,6,2,5,1,4,1,4,3,1,6,2,3,2.8333333333333335,3
161,1,1,5,1,2,-99,weiblich,19,5,5,3,3,2,3,4,6,6,3,3,3,2,5,4,4,4,3.8333333333333335,3.8
162,1,1,5,1,5,-99,weiblich,22,2,3,2,3,3,2,6,4,4,2,3,2,4,3,3,3,3,3,3.2
163,1,1,5,1,5,-99,männlich,23,4,5,3,4,3,2,5,5,3,5,5,5,1,3,4,3,2,4.083333333333333,2.6
164,1,1,5,1,1,-99,weiblich,25,4,3,4,3,3,2,4,6,4,4,5,5,3,5,4,5,5,3.9166666666666665,4.4
165,1,1,5,1,4,-99,männlich,22,5,6,1,5,6,4,4,7,6,3,2,4,2,4,4,3,3,4.416666666666667,3.2
166,1,1,5,1,4,-99,männlich,30,5,3,5,5,5,6,6,6,5,6,4,5,2,2,3,3,1,5.083333333333333,2.2
167,1,1,5,1,1,-99,weiblich,22,2,4,4,4,3,2,3,5,4,3,3,4,5,5,5,5,4,3.4166666666666665,4.8
168,1,1,5,1,5,-99,weiblich,18,5,3,3,3,1,6,3,6,6,5,6,6,5,4,5,4,4,4.416666666666667,4.4
169,1,1,5,1,3,-99,männlich,25,3,4,4,3,3,1,5,2,5,3,3,6,2,4,4,3,1,3.5,2.8
170,1,1,5,1,4,-99,männlich,20,4,7,3,5,6,5,6,7,6,5,2,5,2,5,5,4,5,5.083333333333333,4.2
171,1,1,5,1,4,-99,weiblich,21,6,6,4,5,2,5,7,7,6,6,6,6,5,5,5,5,5,5.5,5
172,1,1,5,1,1,-99,weiblich,24,2,5,4,5,4,5,5,5,4,5,3,4,5,4,4,4,4,4.25,4.2
173,1,1,5,1,1,-99,männlich,21,7,6,4,1,2,7,6,7,7,7,7,7,2,2,2,2,2,5.666666666666667,2
174,1,1,5,1,3,-99,männlich,21,1,2,3,3,2,1,4,4,1,1,1,1,3,3,4,3,3,2,3.2
176,1,1,5,1,3,-99,weiblich,24,4,7,5,4,1,6,7,7,5,6,6,6,1,3,2,2,1,5.333333333333333,1.8
177,1,1,5,1,5,-99,weiblich,23,1,4,2,4,3,2,6,5,2,2,5,3,2,2,2,3,3,3.25,2.4
178,1,1,5,1,5,-99,männlich,23,2,4,6,5,3,3,7,7,5,6,3,6,1,3,2,3,1,4.75,2
179,1,1,5,1,3,-99,weiblich,29,5,6,4,3,2,5,6,5,4,3,4,3,2,1,1,1,1,4.166666666666667,1.2
180,1,1,5,1,3,-99,weiblich,18,5,6,4,6,5,5,5,7,6,5,2,7,4,4,2,1,1,5.25,2.4
182,1,1,5,1,4,-99,weiblich,24,7,6,6,7,1,7,6,7,6,7,5,7,5,5,5,5,5,6,5
185,1,1,5,1,5,-99,weiblich,29,5,6,3,3,1,6,4,7,6,6,4,7,5,6,2,5,4,4.833333333333333,4.4
187,1,1,5,1,3,-99,weiblich,27,1,6,5,2,1,1,3,5,5,4,1,6,2,1,6,1,1,3.3333333333333335,2.2
188,1,1,5,1,3,-99,weiblich,22,3,3,2,6,4,2,5,3,4,3,4,4,3,4,4,4,4,3.5833333333333335,3.8
189,1,1,5,1,5,-99,männlich,27,5,7,4,6,1,5,6,7,3,4,3,5,1,1,6,1,1,4.666666666666667,2
190,1,1,5,1,2,-99,weiblich,22,2,6,2,1,5,4,4,3,4,6,4,6,3,3,3,3,3,3.9166666666666665,3
191,1,1,5,1,4,-99,weiblich,22,4,2,4,6,3,2,6,4,4,2,4,5,2,4,2,2,2,3.8333333333333335,2.4
