"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","einwilligung","prolific_id","IfSHD","YesSHD","gender","age","ac1","edu","employ","employ_7_TEXT","sr_know1","sr_know2","sr_know_com","test_know1","test_know2","test_know3","test_know4","test_know_com1","test_know5","test_know6","test_know7","test_know8","test_know_com2","test_know9","test_know10","test_know11","test_know_com3","sa1","sa2","sa3","sa_com1","sa4","sa5","sa6","ac2","sa_com2","symb_trust1","symb_trust2","symb_trust3","symb_trust_com1","symb_trust4","symb_trust5","ac3","symb_trust_com2","sys_trust_intro","sys_trust1","sys_trust2","sys_trust3","sys_trust4","sys_trust5","sys_trust6","sys_trust7","sys_trust8","sys_trust9","sys_trust10","sys_trust11","sys_trust12","sys_trust_com3","sys_trust_com1","sys_trust_com2","se_test1","se_test2","se_intro2","se1","se2","se3","se4","se_com1","se5","se6","se7","se8","se_com2","se9","se10","se11","se12","se_com3"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date",NA,NA,NA,"Die Teilnehmerinformation ist Teil dieser Einwilligungserklärung.",NA,"Besitzen Sie eines der unten genannten Smart-Home-Produkte? 

- Hausassistenten/Smart Hub (z. B. Amazon Echo, CastleHub, Google Home) 
- Intelligenter Thermostat (z. B. Nest, Hive, tadoi) 
- Vernetzte Leuchten (z. B. Phillips Hue, LIFX, Elgato Avea, Belkin WeMo) 
- Intelligente Steckdosen (z. B. Belkin WeMo Insight Switch, Ankuoo NEO PRO Wi-Fi Smart Switch) 
- Intelligentes Türschloss und/oder Türklingel (z. B. August Smartlock, Danalock, Ring Smart Doorbell) 
- Intelligente Sicherheitskamera (z. B. Nest Cam, Netatmo, Netgear Arlo) 
- Intelligente Sprinkler-/Bewässerungssteuerungen (z. B. Aifro WaterEco, BlueSpray, Rachio Smart Sprinkler Controller) 
- Intelligente Gesundheitsüberwachungsgeräte, ausgenommen intelligente Uhren (z. B. Waagen, Blutdruckmessgeräte) 
- Lebensmittelbestellungen (z. B. Amazon Dash Buttons, Hiku, GeniCan) 
- Intelligente Rauchmelder und -alarme (z. B. Kepler, Birdi) 
- Intelligente Haushaltsgeräte (z. B. Kühlschrank, Ofen, Wasserkocher, Waage, Staubsauger)","Welche(s) Smart-Home-Gerät(e) besitzen Sie?","Welches Geschlecht haben Sie?","Wie alt sind Sie (in Jahren)?","Ich wurde vor 1910 geboren.","Welches ist der höchste Abschluss, den Sie erworben haben?","Wie ist Ihr derzeitiger Beschäftigungsstatus? - Selected Choice","Wie ist Ihr derzeitiger Beschäftigungsstatus? - Anderer: - Text","Ich fühle mich ausreichend über die Risiken von Smart Home-Geräten informiert.","Ich fühle mich ausreichend darüber informiert, wie man die Risiken von Smart-Home-Geräten vermeiden kann.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Welche der folgenden Daten können grundsätzlich von Smart-Home-Geräten erfasst werden?","Wozu dient eine Datenschutzerklärung im Zusammenhang mit Smart-Home-Geräten?","Welche der folgenden Aussagen treffen auf die Erhebung personenbezogener Daten durch Smart-Home-Geräte zu?","Welche potenziellen Risiken im Hinblick auf Datenschutz birgt die Verwendung von Smart-Home-Geräten?","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Wie können Benutzer*innen ihre Daten vor dem Zugriff Unbefugter bei der Verwendung von Smart-Home-Geräten schützen?","Was versteht man im Zusammenhang mit Datenverkehr unter „lokaler Verarbeitung“ bei Smart-Home-Geräten?","Welche Aussagen über Updates treffen in Bezug auf Smart-Home-Geräte zu?","Welche Aussagen über den Zugriff auf Smart-Home-Geräte von außen treffen zu?","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Welche Aussagen über Sicherheitsmaßnahmen in Bezug auf Smart Homes treffen zu?","Welche Aussagen über Datenströme in Smart-Home-Systemen treffen zu?","Welche Aussagen über Rechte und Pflichten von Nutzer*innen und Herstellern treffen in Bezug auf Smart-Home-Geräte zu?","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Ich bin stets bestrebt, Gelegenheiten zu finden, um mehr über die für mich relevanten Sicherheitsmaßnahmen zu erfahren.","Ich bin äußerst motiviert, alle notwendigen Schritte zu unternehmen, um meine Online-Daten und -Konten zu schützen.","Im Allgemeinen folge ich gewissenhaft einer Routine bezüglich Sicherheitsmaßnahmen.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Ich interessiere mich oft für Artikel über Sicherheitsbedrohungen.","Ich höre immer auf den Rat von Expert*innen, welche Schritte ich ergreifen muss, um meine Online-Daten und -Konten zu schützen.","Ich habe äußerst umfassende Kenntnisse über alle erforderlichen Schritte, um meine Online-Daten und -Konten zu schützen.","Bitte kreuzen Sie die Antwort ""stimme voll und ganz zu"" an, um zu zeigen, dass Sie den Satz gelesen haben.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Das Symbol ist nachvollziehbar.","Ich kann dem Symbol vertrauen.","Ich kann mich auf das Symbol nicht verlassen.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Das Symbol ist zuverlässig.","Das Symbol ist präzise.","Bitte kreuzen Sie die Antwort ""Stimmt gar nicht"" an, um zu zeigen, dass Sie den Satz gelesen haben.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Im Folgenden werden Sie zu Ihrem Vertrauen in Smart-Home-Apps befragt. Denken Sie bei der Beantwortung der Fragen entweder an eine spezifische Smart-Home-App oder an Ihre generelle Wahrnehmung der von Ihnen bereits genutzten Smart-Home-Apps. 

Smart-Home-Geräte sind mit dem Internet verbundene Geräte, die die Fernüberwachung und -verwaltung von Geräten und Systemen ermöglichen. Beispiele für diese Art von Geräten sind Amazon Alexa, ein intelligentes Heizsystem (das von überall aus über eine Smartphone-Anwendung gesteuert werden kann), ein intelligenter Kühlschrank (der Ihnen Bilder von seinem Inhalt zeigt, während Sie im Supermarkt frische Lebensmittel kaufen). Ein Tablet oder Smartphone ist kein Smart-Home-Gerät. 

Versuchen Sie, alle Fragen so ehrlich und so spontan wie möglich zu beantworten. Es gibt keine richtigen oder falschen Antworten.","Ich kann der App vertrauen.","Die App ist irreführend.","Die Aktionen der App sind undurchsichtig.","Ich misstraue den Aktionen, Absichten oder Konsequenzen der App.","Ich bin der App gegenüber wachsam.","Ich bin mit der App vertraut.","Die Aktionen der App führen zu nachteiligen oder schädlichen Konsequenzen.","Ich traue mir zu, die App zu nutzen.","Die App ist glaubwürdig.","Ich kann mich auf die App verlassen.","Die App bietet Sicherheit.","Die App ist zuverlässig.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Ich kann drei Bücher auf einmal heben.","Ich kann einen 50 Kilogramm schweren Stein heben.","Im Folgenden werden Sie zu Ihren Smart-Home-Geräten befragt. Denken Sie bei der Beantwortung der Fragen immer an Ihr komplettes Smart-Home-System.

 

Smart-Home-Geräte sind mit dem Internet verbundene Geräte, die die Fernüberwachung und -verwaltung von Geräten und Systemen ermöglichen. Beispiele für diese Art von Geräten sind Amazon Alexa, ein intelligentes Heizsystem (das von überall aus über eine Smartphone-Anwendung gesteuert werden kann), ein intelligenter Kühlschrank (der Ihnen Bilder von seinem Inhalt zeigt, während Sie im Supermarkt frische Lebensmittel kaufen). Ein Tablet oder Smartphone ist kein Smart-Home-Gerät.

 

Versuchen Sie, alle Fragen so ehrlich und so spontan wie möglich zu beantworten. Es gibt keine richtigen oder falschen Antworten. Denken Sie daran: Auch wenn Sie die folgende Situation oder das folgende Verhalten bisher noch nicht erlebt haben, versuchen Sie, so ehrlich und spontan wie möglich zu antworten, basierend auf Ihren aktuellen Erwartungen","Ich kann die Datenschutzrichtlinien von Geräten zur Risikobewertung meiner Privatsphäre nutzen.","Ich kann die in einer Cloud gespeicherten Daten löschen, wenn ich meine Geräte nicht mehr nutzen möchte.","Ich kann die Informationen beschaffen, die ich brauche, um meine gespeicherten Daten auf meinen Geräten zu löschen.","Ich kann herausfinden, welche Drittanbieter Zugriff auf die von meinen Geräten gesammelten Daten haben.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Ich kann herausfinden, welche Daten meine Geräte sammeln.","Ich kann mir das technische Wissen aneignen, um die technischen Datenblätter meiner Geräte zu verstehen.","Ich kann die Auswirkungen auf meine Privatsphäre überblicken, wenn ich mehrere Geräte miteinander verbinde.","Ich kann erkennen, wenn Benutzeroberflächen so gestaltet sind, dass sie meine Entscheidungen über Sicherheitsoptionen beeinflussen.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein.","Ich kann Verletzungen meiner Datenschutzrechte durch eine Gerätefunktion erkennen.","Ich kann bei Bedarf Kontakt mit dem Datenschutzbeauftragten eines Herstellers aufnehmen.","Ich kann vor dem Kauf eines neuen Geräts Informationen über die damit verbundenen Auswirkungen auf die Privatsphäre einholen.","Ich kann meine Geräte im Falle eines Sicherheitsangriffs deaktivieren.","Wenn Sie Anmerkungen zur Formulierung und Verständlichkeit der Fragen haben, tragen Sie diese bitte in das untenstehende Textfelder ein."
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}",NA,NA,NA,"{""ImportId"":""QID27""}",NA,"{""ImportId"":""QID1212598780""}","{""ImportId"":""QID1212598781_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID1212598819""}","{""ImportId"":""QID1212598821""}","{""ImportId"":""QID1212598822""}","{""ImportId"":""QID1212598822_7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID46""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID44""}","{""ImportId"":""QID43""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID88""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID1212586384""}","{""ImportId"":""QID1212586385""}","{""ImportId"":""QID1212586386""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID91""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID65""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID63""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID87_TEXT""}"
"2023-06-29 13:41:32","2023-06-29 13:49:49","0","100","497","1","2023-06-29 13:49:50",NA,NA,NA,"1",NA,"1","Amazon Echo, Philips Hue","1","22","1","4","1","","3","3","","1,2,3","3,4","4","1,4","","1,2,4","1,2","1","1,4","","1,3","1,4","3,4","","4","3","2","","4","2","4","5","","3","5","5","","3","3","1","","5","5","7","6","7","2","7","7","7","6","7","5","7","","","","7","2","5","6","7","7","5","","6","7","5","4","","3","3","7","7",""
"2023-06-29 13:37:18","2023-06-29 13:51:31","0","100","853","1","2023-06-29 13:51:32",NA,NA,NA,"1",NA,"2","","1","38","1","7","4","","2","2","","1","3,4","4","1","","2,4","1","1","1,3","","1,2,3","1,4","3,4","","3","3","2","","1","4","4","5","","1","3","4","ich kenne die Bedeutung des Symbols nicht. Frage 3 ist daher schwer zu beantworten.","3","1","1","","5","2","5","2","5","5","2","4","7","4","3","2","5","","Was ist mit Absichten einer App gemeint?","","7","2","5","3","5","3","1","","3","5","1","2","","1","4","2","5",""
"2023-06-29 13:50:05","2023-06-29 14:01:22","0","100","676","1","2023-06-29 14:01:22",NA,NA,NA,"1",NA,"1","Amazon Echo, Phillips Hue","1","47","1","7","1","","3","3","","1,2,3","3,4","1,4","1,3,4","","1,2,4","1","1,4","1,2,3","","1,2,3","1,3,4","2,3,4","","4","5","5","","5","4","4","5","","2","1","3","","1","2","3","","5","5","7","7","7","1","7","6","7","5","5","5","5","","","","7","4","5","5","6","7","1","","4","7","7","5","","4","3","7","7",""
"2023-06-29 13:45:45","2023-06-29 14:01:35","0","100","949","1","2023-06-29 14:01:36",NA,NA,NA,"1",NA,"1","Rauchmelder, Blutdruckmessgerät ","1","49","1","8","1","","2","2","Keine Anmerkungen ","1,2","4","1,4","1,4","Keine Anmerkungen ","1","1","1,3","3","Keine Anmerkungen ","2,3","1,4","4","Keine Anmerkungen ","4","4","4","Keine Anmerkungen ","4","4","2","5","Keine Anmerkungen ","1","3","4","Keine Anmerkungen ","3","2","1","Keine Anmerkungen ","5","4","6","5","4","1","7","7","5","5","4","4","4","Keine Anmerkungen ","Keine Anmerkungen ","Keine Anmerkungen ","7","1","5","5","4","6","4","Keine Anmerkungen ","7","7","4","3","Keine Anmerkungen ","1","7","7","7","Keine Anmerkungen "
"2023-06-29 13:49:36","2023-06-29 14:03:26","0","100","829","1","2023-06-29 14:03:27",NA,NA,NA,"1",NA,"1","Roboterstaubsauger","1","33","1","7","1","","2","3","","1,2,3","3,4","4","1,2,3","","1,2,4","1","1","3","","1,3","1,4","3,4","","3","4","4","","4","4","3","5","","3","4","4","","4","3","1","","4","1","5","2","6","3","6","4","7","4","4","3","4","","","","1","6","4","3","3","2","4","","2","4","3","4","","2","3","4","2",""
"2023-06-29 13:58:23","2023-06-29 14:08:42","0","100","619","1","2023-06-29 14:08:43",NA,NA,NA,"1",NA,"1","Staubsauger","2","30","1","7","1","","2","2","-","1,2,3","3,4","4","1","-","1,2,4","1","1,4","3","-","1,2,3","1,2,4","2,3,4","-","1","2","2","-","2","3","2","5","-","3","3","3","-","3","2","1","-","5","5","5","3","4","6","5","6","5","5","6","4","5","-","-","-","6","1","5","4","3","3","3","-","4","3","4","3","-","3","2","4","4","-"
"2023-06-29 13:59:36","2023-06-29 14:09:15","0","100","578","1","2023-06-29 14:09:16",NA,NA,NA,"1",NA,"1","Smart Watch","2","28","1","7","4","","2","2","","1,2,3","3,4","4","1,3,4","","1,2,4","1","1,4","1,3","","1,2,3","1,4","3,4","","3","4","3","","1","3","2","5","","1","1","1","","1","1","1","","4","1","4","4","3","2","1","3","5","2","4","3","4","","","","7","4","4","5","4","5","5","","4","6","5","5","","2","7","4","4",""
"2023-06-29 14:04:31","2023-06-29 14:11:11","0","100","400","1","2023-06-29 14:11:13",NA,NA,NA,"1",NA,"1","Smart Hub, Blutdruckmessgerät, Steckdosen","4","25","1","4","1","","3","3","","1,2,3","3,4","4","1,3","","1,2,4","1","1","1,2,3","","1,2,3","1,4","3,4","","4","5","4","","4","4","4","5","","2","3","3","","3","2","1","","5","3","5","5","4","3","6","4","7","3","4","1","4","","","","7","2","5","5","5","5","3","","4","7","4","5","","3","5","5","6",""
"2023-06-29 13:52:36","2023-06-29 14:11:59","0","100","1163","1","2023-06-29 14:12:00",NA,NA,NA,"1",NA,"1","Amazon Echo","2","38","1","5","2","","2","2","","3","4","4","1","","2","1","1,4","1,3","","1,2,3","1","3","","3","4","4","","4","2","4","5","","1","3","5","","2","3","1","","5","4","5","3","4","4","5","6","6","4","4","4","4","","","","4","1","5","4","4","4","4","","4","3","4","4","","3","6","5","4",""
"2023-06-29 13:59:01","2023-06-29 14:12:27","0","100","805","1","2023-06-29 14:12:27",NA,NA,NA,"1",NA,"2","","2","25","1","7","1","","2","2","","1,2,3","3,4","4","1,4","","1,2","1","1,4","1","","1,2,3","1,3,4","3,4","","2","5","2","","2","4","3","5","","1","3","3","","3","2","1","","5","5","3","4","2","3","6","4","5","4","6","4","6","","","","7","5","4","2","6","4","2","""Ich kann die Datenschutzrichtlinien von Geräten zur Risikobewertung meiner Privatsphäre nutzen."" Ich verstehe nicht inwiefern nutzen? Nutzen um die Firma im Zweifel zu verklagen?","2","5","1","2","""Ich kann erkennen, wenn Benutzeroberflächen so gestaltet sind, dass sie meine Entscheidungen über Sicherheitsoptionen beeinflussen."" = beeinflusst werden?","2","5","3","6",""
"2023-06-29 13:59:04","2023-06-29 14:14:08","0","100","904","1","2023-06-29 14:14:09",NA,NA,NA,"1",NA,"1","Google Home, Philips HUE, Smart Switch, Blutdruckmessgerät","1","73","1","7","6","","3","3","","2,3","3","1","1","","3","4","3","1","","1,2","1,3","1","","3","3","2","","3","4","4","5","","6","4","4","","5","5","1","Es ist schwierig die Fragen korrekt zu beantworten, da ich das Symbol bisher nicht kannte. Wie soll ich denn wissen ob es zuverlässig ist? Die Frage müsst wohl eher lauten: Wirkt das Symbol für Sie zuverlässig.","5","4","7","5","6","5","6","7","7","6","5","6","5","","","","7","1","5","4","1","1","1","","1","3","1","3","","1","1","5","1",""
"2023-06-29 13:56:30","2023-06-29 14:14:35","0","100","1084","1","2023-06-29 14:14:36",NA,NA,NA,"1",NA,"1","Lampen, Steckdosen und Staubsauger","1","28","1","4","1","","4","4","","1","3,4","4","1","Verfügbarkeit von Updates muss nicht manuell geprüft werden, aber sollte gemacht werden","2,4","1","1,4","3","","2,3","1,4","3","","4","4","4","","4","4","5","5","","1","3","5","","3","1","1","","5","7","7","7","1","1","7","7","7","7","7","7","7","","","","7","2","5","6","6","6","4","","6","7","4","7","","2","4","7","7",""
